,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
373,MSU,#ffffff,,MSU,Michigan State,#18453B,Big Ten,East,127,"['http://a.espncdn.com/i/teamlogos/ncaa/500/127.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png']",Spartans,Michigan State
374,MIC,,,MIC,Michigan Tech,#000000,,,2392,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2392.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2392.png']",Huskies,Michigan Tech
375,MID,,,MID,Middlebury,#000000,,,2394,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2394.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2394.png']",Panthers,Middlebury
376,MTSU,#c3c5c8,Middle Tennessee State,MTSU,Mid Tennessee,#0079C2,Conference USA,East,2393,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2393.png']",Blue Raiders,Middle Tennessee
377,MID,,,MID,Midland U,#000000,,,565,"['http://a.espncdn.com/i/teamlogos/ncaa/500/565.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/565.png']",Warriors,Midland University
378,MID,,,MID,Midwest,#000000,,,2395,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2395.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2395.png']",Mustangs,Midwestern State
379,MIL,,,MIL,Miles,#000000,,,2396,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2396.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2396.png']",Golden Bears,Miles
380,MIL,,,MIL,Millersville,#000000,,,210,"['http://a.espncdn.com/i/teamlogos/ncaa/500/210.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/210.png']",Marauders,Millersville
381,MIL,,,MIL,Millikin,#000000,,,74,"['http://a.espncdn.com/i/teamlogos/ncaa/500/74.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/74.png']",Big Blue,Millikin
382,MIL,,,MIL,Millsaps,#000000,,,2398,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2398.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2398.png']",Majors,Millsaps
383,MINN,#7a0019,,MINN,Minnesota,#7F011B,Big Ten,West,135,"['http://a.espncdn.com/i/teamlogos/ncaa/500/135.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png']",Golden Gophers,Minnesota
384,MIN,,,MIN,Minnesota-Crookston,#000000,,,2772,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2772.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2772.png']",Golden Eagles,Minnesota-Crookston
