alt_color,color,id,logos,school,Latitude,Longitude
#231f20,#C80025,2641,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2641.png']",Texas Tech,33.5910518,-101.8728824
#ffd51d,#00488F,2649,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2649.png']",Toledo,41.6574777,-83.6135652
#88898c,#AE0210,2653,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",Troy,31.7995565,-85.9518328
#3baf29,#005837,2655,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2655.png']",Tulane,29.944616,-90.116692
#ee3b33,#004371,202,"['http://a.espncdn.com/i/teamlogos/ncaa/500/202.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/202.png']",Tulsa,36.1489175,-95.9437853
#ffc845,#003b28,5,"['http://a.espncdn.com/i/teamlogos/ncaa/500/5.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/5.png']",UAB,33.511389,-86.842778
#231f20,#000000,2116,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",UCF,28.6079765,-81.1927233
#ffc72c,#005C8E,26,"['http://a.espncdn.com/i/teamlogos/ncaa/500/26.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/26.png']",UCLA,34.1613284,-118.1676462
,#880007,113,"['http://a.espncdn.com/i/teamlogos/ncaa/500/113.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/113.png']",UMass,42.3773244,-72.5360595
#c2c4c6,#000000,2439,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2439.png']",UNLV,36.085935,-115.01731
#ffc72c,#AE2531,30,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",USC,34.014167,-118.287778
#7e8083,#890012,254,"['http://a.espncdn.com/i/teamlogos/ncaa/500/254.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/254.png']",Utah,40.7599724,-111.8488255
