id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob
401114251,2019,2,regular,2019-09-07T01:00:00.000Z,false,false,,3653,Albertsons Stadium,Boise State,Mountain West,14,0,7,7,0,0.9742280253075609,Marshall,Conference USA,7,7,0,0,0,0.02577197469243908
401114154,2019,2,regular,2019-09-07T02:00:00.000Z,false,false,,3947,Sun Devil Stadium,Arizona State,Pac-12,19,0,3,6,10,0.9544056854443761,Sacramento State,,7,0,0,0,7,0.045594314555623905
401112445,2019,2,regular,2019-09-07T15:00:00.000Z,false,false,,3752,Heinz Field,Pittsburgh,ACC,20,3,14,3,0,0.8936988972478924,Ohio,Mid-American,10,0,3,7,0,0.10630110275210758
401112223,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3558,Michigan Stadium,Michigan,Big Ten,24,7,0,7,0,0.9601404334753726,Army,FBS Independents,21,7,7,0,0,0.03985956652462741
401112192,2019,2,regular,2019-09-07T16:00:00.000Z,false,true,,3793,Kinnick Stadium,Iowa,Big Ten,30,7,13,7,3,0.9999793082998703,Rutgers,Big Ten,0,0,0,0,0,0.00002069170012974908
401112202,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3665,Maryland Stadium,Maryland,Big Ten,63,21,21,7,14,0.9999232292956708,Syracuse,ACC,20,7,6,7,0,0.00007677070432920985
401112252,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3861,Ohio Stadium,Ohio State,Big Ten,42,7,21,7,7,0.9999880145037198,Cincinnati,American Athletic,0,0,0,0,0,0.000011985496280231267
401112446,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3799,Lane Stadium,Virginia Tech,ACC,31,10,7,7,7,0.9944391493670949,Old Dominion,Conference USA,17,3,0,7,7,0.005560850632905123
401110785,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3907,Ross-Ade Stadium,Purdue,Big Ten,42,7,7,14,14,0.9929547799383418,Vanderbilt,SEC,24,7,3,0,14,0.007045220061658197
401114254,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3768,Summa Field at InfoCision Stadium,Akron,Mid-American,20,6,0,0,14,0.7161763083466212,UAB,Conference USA,31,7,10,14,0,0.28382369165337884
401112107,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3636,Bill Snyder Family Football Stadium,Kansas State,Big 12,52,17,21,7,7,0.9999954937888929,Bowling Green,Mid-American,0,0,0,0,0,0.000004506211107146996
401119261,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3696,Dix Stadium,Kent State,Mid-American,26,3,7,7,6,0.2270606420041482,Kennesaw State,,23,3,13,0,7,0.7729393579958518
401117862,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3805,Liberty Bowl Memorial Stadium,Memphis,American Athletic,55,17,10,21,7,0.9994747793607958,Southern,,24,7,10,7,0,0.000525220639204238
401110781,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3838,Faurot Field,Missouri,SEC,38,10,21,0,7,0.9999894187760879,West Virginia,Big 12,7,0,0,0,7,0.000010581223912065063
401110782,2019,2,regular,2019-09-07T16:00:00.000Z,false,false,,3994,Williams-Brice Stadium,South Carolina,SEC,72,21,23,7,21,0.9999948034797541,Charleston Southern,,10,3,0,0,7,0.000005196520245887015
401112444,2019,2,regular,2019-09-07T16:30:00.000Z,false,false,,3670,Carter-Finley Stadium,NC State,ACC,41,3,21,10,7,0.9999933836423213,Western Carolina,,0,0,0,0,0,0.000006616357678734808
401114224,2019,2,regular,2019-09-07T17:00:00.000Z,false,false,,587,Rice-Eccles Stadium,Utah,Pac-12,35,0,21,7,7,0.9983911140935828,Northern Illinois,Mid-American,17,7,10,0,0,0.0016088859064171679
401112441,2019,2,regular,2019-09-07T18:00:00.000Z,false,false,,721,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,ACC,14,0,14,0,0,0.38553997084444,South Florida,American Athletic,10,3,0,0,7,0.61446002915556
401119260,2019,2,regular,2019-09-07T18:00:00.000Z,false,false,,3919,Scheumann Stadium,Ball State,Mid-American,57,14,14,22,7,0.9986144746635135,Fordham,,29,14,0,15,0,0.0013855253364865039
401119262,2019,2,regular,2019-09-07T18:30:00.000Z,false,false,,3996,Yager Stadium,Miami (OH),Mid-American,48,10,31,0,7,0.9998892588931046,Tennessee Tech,,17,3,0,0,14,0.00011074110689535122
401112239,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3726,Folsom Field,Colorado,Pac-12,34,0,0,7,24,0.78305545476007,Nebraska,Big Ten,31,7,10,0,14,0.21694454523993
401110780,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3693,Davis Wade Stadium,Mississippi State,SEC,38,7,14,7,10,0.9982211218220371,Southern Mississippi,Conference USA,15,0,0,7,8,0.0017788781779628504
401110784,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3836,Memorial Stadium,Clemson,ACC,24,0,17,7,0,0.9942023277063426,Texas A&M,SEC,10,0,3,0,7,0.005797672293657352
401112268,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,347,Camp Randall Stadium,Wisconsin,Big Ten,61,16,28,10,7,0.9999979081718521,Central Michigan,Mid-American,0,0,0,0,0,0.000002091828147920971
401114354,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3985,Warren McGuirk Alumni Stadium,UMass,FBS Independents,20,6,7,0,7,0.007271209398413716,Southern Illinois,,45,0,17,14,14,0.9927287906015863
401114247,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3792,Kidd Brewer Stadium,Appalachian State,Sun Belt,56,14,14,14,14,0.6361521273222749,Charlotte,Conference USA,41,6,7,15,13,0.3638478726777251
401112438,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3615,Alumni Stadium,Boston College,ACC,45,21,14,10,0,0.9996021253960914,Richmond,,13,0,10,0,3,0.00039787460390861007
401112146,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3892,Rentschler Field,Connecticut,American Athletic,23,10,3,7,3,0.06095262416680899,Illinois,Big Ten,31,0,24,7,0,0.939047375833191
401114250,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3776,Joe Aillet Stadium,Louisiana Tech,Conference USA,20,7,13,0,0,0.8786448845449534,Grambling,,14,0,0,7,7,0.12135511545504662
401112158,2019,2,regular,2019-09-07T19:30:00.000Z,false,false,,3830,Memorial Stadium,Indiana,Big Ten,52,21,14,7,10,0.999995407440743,Eastern Illinois,,0,0,0,0,0,0.000004592559256999529
401117498,2019,2,regular,2019-09-07T20:00:00.000Z,false,false,,5388,Canvas Stadium,Colorado State,Mountain West,38,14,14,7,3,0.9999882960711441,Western Illinois,,13,3,3,0,7,0.000011703928855855139
401112074,2019,2,regular,2019-09-07T20:00:00.000Z,false,false,,4727,McLane Stadium,Baylor,Big 12,63,14,21,14,14,0.9999264900124466,UT San Antonio,Conference USA,14,0,0,7,7,0.00007350998755339955
401110773,2019,2,regular,2019-09-07T20:00:00.000Z,false,false,,3657,Bryant Denny Stadium,Alabama,SEC,62,21,17,24,0,0.9999943241044074,New Mexico State,FBS Independents,10,0,0,7,3,0.000005675895592638369
401110776,2019,2,regular,2019-09-07T20:00:00.000Z,false,false,,3917,Sanford Stadium,Georgia,SEC,63,7,35,7,14,0.9999853727917917,Murray State,,17,7,0,10,0,0.000014627208208328746
401114214,2019,2,regular,2019-09-07T20:15:00.000Z,false,false,,1056,Rose Bowl,UCLA,Pac-12,14,7,0,7,0,0.01808173218529477,San Diego State,Mountain West,23,10,0,10,3,0.9819182678147053
401112440,2019,2,regular,2019-09-07T21:00:00.000Z,false,false,,3697,Bobby Bowden Field at Doak Campbell Stadium,Florida State,ACC,45,14,10,0,14,0.5706900916134383,Louisiana Monroe,Sun Belt,44,0,7,14,17,0.4293099083865617
